LAGER LISTA  ;;;;;;;;;;;;;;;;;;;;
Rbr.;MT;NadGrupa;Grupa;Šifra robe;Barcode;KatBroj;Naziv robe;Dob;NazivDob;Polica;Pretinac;JMJ;Stanje;PNBC;VPC;MPC;TD_Sifra;TD_ID;Top;Akt
192;50;*Bez*;*Bez*;05166;3165143302873;1457431703(PU1021X);BOSCH FILTER GORIVA PEŽO/CITROEN 1,9D ;;;;;KOM;2,00;12,00;13,20;15,44;;0,00;;D
420;50;*Bez*;*Bez*;04567;4003774027576;G12 1,5 CRVENI;"ANTIFRIZ ""ALPINE"" C12 CRVENI ";;;;;KOM;2,00;7,495;9,40;11,00;;0,00;;D
1003;50;*Bez*;*Bez*;05425;3165141087413;340;BOSCH METLICE BRISAČA 340MM ;;;;;KOM;1,00;13,50;14,00;16,38;;0,00;;D
1013;50;*Bez*;*Bez*;05440;3165141087802;600;BOSCH METLICE BRISAČA 600 MM ;;;;;KOM;1,00;19,74;28,21;33,01;;0,00;;D
1128;50;*Bez*;*Bez*;00042;0042;1191017005;OSIGURAČ GRIJAČA 50A ;;;;;KOM;2,00;0,36;0,85;0,99;;0,00;;D
1205;50;*Bez*;*Bez*;00758;0758;3,2 MM;CRIJEVO DIZNA 3.2MM ;;;;;M;0,50;5,98;8,55;10,00;;0,00;;D
1269;50;*Bez*;*Bez*;01685;1685;F7669(100321);KAPA VAKUM CIJEVI M-123 ;;;;;KOM;12,00;0,5379;0,85;0,99;;0,00;;D
1298;50;*Bez*;*Bez*;01828;1828;FC1495(P811);FILTER FIAAM FC1495 ;;;;;KOM;1,00;5,00;6,00;7,02;;0,00;;D
1370;50;*Bez*;*Bez*;05616;3165141180657;10X750;REMEN KLINASTI 10X750 ;;;;;KOM;2,00;6,11;9,40;11,00;;0,00;;D
1372;50;*Bez*;*Bez*;05620;3165141180671;10X785;BOSCH REMEN KLINASTI 10X785 ;;;;;KOM;1,00;5,00;6,83;7,99;;0,00;;D
1380;50;*Bez*;*Bez*;05634;3165141069143;11,2X820;BOSCH REMEN KLINASTI 11,2X820 ;;;;;KOM;1,00;3,00;4,00;4,68;;0,00;;D
1487;50;*Bez*;*Bez*;00320;0320;35X52X22;LEŽAJ KLIME 35X52X22 ;;;;;KOM;1,00;15,00;18,00;21,06;;0,00;;D
2056;50;*Bez*;*Bez*;05788;3165141048582;0241229639(ZFR5F);BOSCH SVJEĆICA F8LCR ;;;;;KOM;27,00;3,00;6,00;7,02;;0,00;;D
2099;50;*Bez*;*Bez*;04587;4003116204887;10W-40 1/1 7234;ARAL BLUE TRONIC 10W-40 1/1 ;;;;;KOM;7,00;8,3173;11,11;13,00;;0,00;;D
2100;50;*Bez*;*Bez*;04588;4003116204849;10W-40 4/1  3295;ARAL BLUE TRONIC 10W-40 4/1 ;;;;;KOM;3,00;30,776;41,03;48,01;;0,00;;D
2101;50;*Bez*;*Bez*;04590;4003116206379;5W-40 1/1 11985;ARAL HIGH TRONIC 5W-40 (505.01)1/1 ;;;;;KOM;5,00;10,3283;14,53;17,00;;0,00;;D
2102;50;*Bez*;*Bez*;04591;4003116204788;5W-30 1/1 LL3 A20156;ARAL SUPER TRONIC 5W-30 1/1 LONG LIFE 3 ;;;;;KOM;10,00;12,741;17,95;21,00;;0,00;;D
2415;50;*Bez*;*Bez*;07011;201299;201299;ČEP ULJA DEKLA ;;;;;KOM;1,00;2,00;3,84;4,49;;0,00;;D
