Kataloški broj;Barcode;Naziv robe;VPC;MPC
0569Q;8717109230772;OPRUGE PAKNI VW GOLF AUDI;16,20;19
0597Q;8717109231021;OPRUGE PAKNI AUDI 80/VW PASSAT 75.-91.;22,30;26
0599Q;8717109231045;OPRUGE PAKNI FORD ESCORT ORION;17,19;20
0600Q;8717109231076;OPRUGE PAKNI FORD ESCORT III/IV;17,66;21
0618Q;8717109231236;OPRUGE PAKNI PEŽO RENO 205/309/11/19/CLIO (R) 83-;17,03;20
0622Q;8717109231298;OPRUGE PAKNI MERCEDES W124/W201/W202/W210;18,25;21
0628Q;8717109231359;OPRUGE PAKNI OPEL CORSA/KADETT/ASTRA 84-91;11,71;14
0629Q;8717109231366;OPRUGE PAKNI OPEL KADETT ASCONA VECTRA;11,33;13
0651Q;8717109231601;OPRUGE PAKNI PEŽO CITROEN XSARA/ZX/306/11/19 84-;21,90;26
0667Q;8717109231748;OPRUGE PAKNI OPEL KADETT/OMEGA/VECTRA 78.-;9,55;11
0677Q;8717109231823;OPRUGE PAKNI FORD ESCORT/ORION 90-;33,06;39
0678Q;8717109231830;OPRUGE PAKNI RENO VOLVO 440/460 88.-;12,02;14
0680Q;8717109231854;OPRUGE PAKNI VW GOLF III VENTO;14,42;17
0681Q;8717109231861;OPRUGE PAKNI VW PASSAT 88.- GOLF III VARIANT;25,93;30
0691Q;8717109231960;OPRUGE PAKNI FIAT DUCATO FORD MAVERICK;19,84;23
0711Q;8717109232158;OPRUGE PAKNI OPEL ASTRA/CALIBRA/V 87.-;11,86;14
0714Q;8717109232189;OPRUGE PAKNI MERC.207-210;31,35;37
0715Q;8717109232196;OPRUGE PAKNI MERCEDES 307/310 77.-;32,96;39
0716Q;8717109232202;OPRUGE PAKNI MERCEDES W140;28,39;33
0731Q;8717109232349;OPRUGE PAKNI FORD MONDEO(A)93.-;35,01;41
0732Q;8717109232356;OPRUGE PAKNI FORD MONDEO 1.8/2.0(A)93.-;27,90;33
0746Q;8717109232479;OPRUGE PAKNI OPEL COMBO 91.-96.;10,69;13
0750Q;8717109232516;OPRUGE PAKNI PEŽO 406/BREAK 95.-99.;27,06;32
0751Q;8717109232523;OPRUGE PAKNI FORD FIESTA 95.-MAZDA 121;27,03;32
0753Q;8717109232547;OPRUGE PAKNI DUCATO JUMPER 94.-;19,04;22
0756Q;8717109232561;OPRUGE PAKNI CITROEN BERLINGO;18,82;22
0763Q;8717109253375;OPRUGE PAKNI FIAT PANDA/UNO(A)LOCKH. 89.-;12,24;14
0766Q;8717109232639;OPRUGE PAKNI OPEL ASTRA VECTRA;20,40;24
0772Q;8717109232691;OPRUGE PAKNI FORD FOCUS 98.-;25,37;30
0773Q;8717109232707;OPRUGE PAKNI MERCEDES A KLASA;14,89;17
0774Q;8717109253399;OPRUGE PAKNI SPRINTER 2/3-LT28/35 96.-;12,92;15
0775Q;8717109253405;OPRUGE PAKNI MERCEDES SPRINTER 4-LT46 96.-;13,39;16
0777Q;8717109232714;OPRUGE PAKNI RENO KANGOO 97.-;17,29;20
0783Q;8717109253443;OPRUGE PAKNI FIAT PUNTO 1.2-1.7D/TD(A)93.-;18,78;22
0794Q;8717109356472;OPRUGE PAKNI FORD FIESTA/PUMA 00.-;23,22;27
0796Q;8717109356496;OPRUGE PAKNI FIAT DOBLO 01.-;17,09;20
0806Q;8717109356595;OPRUGE PAKNI FORD TRANSIT/NISSAN TERRANO 93.-;14,51;17
0831Q;8717109584585;OPRUGE PAKNI VOLVO S60/V70;13,41;16
0980Q;8717109233582;OSIGURAČI PLOČICA ZAD.VOLVO 7-/8-/9-/C70/S70/S90 75.-;10,69;13
0982Q;8717109233605;OPRUGE PAKNI PEŽO 405/VW SCIROCCO;8,87;10
1010;8717109000306;MAN;43,17;51
1012Q;8717109233810;OSIGURAČI PLOČICA PR.OPEL ASTRA/ASCONA/KADETT;7,00;8
1037Q;8717109234022;OSIGURAČI PLOČICA ZAD.MERCEDES W201 190 82.-93.;11,22;13
1046Q;8717109234114;OSIGURAČI PLOČICA ZAD.MERCEDES W124/W210;10,20;12
1050;8717109000764;CILINDAR KOČIONI GL.FIAT RITMO II 82.-87.PMD180;36,70;43
1058Q;8717109234237;OPRUGE PAKNI TOYOTA COROLLA;27,42;32
1060;8717109000863;CILINDAR KOČIONI GL.FIAT UNO=PMD168;36,95;43
1068;8717109000955;MAN;103,33;121
1072;8717109001006;MAN;110,72;130
1075;8717109001037;CILINDAR KOČIONI GL.FIAT CINQUECENTO/SEICENTO 91.-;42,74;50
1088;8717109001051;MAN;37,47;44
1123Q;8717109234855;OSIGURAČI PLOČICA VW/AUDI/VOLVO...;13,33;16
1140Q;8717109235012;OSIGURAČI PLOČICA PR.FORD ESCORT/ORION 90.-;16,92;20
1141Q;8717109235029;OPRUGE PAKNI CITROEN FORD FIAT;22,67;27
1151;8717109001327;CILINDAR KOČIONI GL.RENO 9;73,90;86
1151Q;8717109235128;OSIGURAČI PLOČICA PR.RENO 5/11/19 CLIO 84.-;16,04;19
1157;8717109001372;MAN;56,91;67
1168Q;8717109235272;OSIGURAČI PLOČICA PR.FORD MONDEO 93.-;14,26;17
1200Q;8717109235579;OPRUGE PAKNI SPRINTER LT;12,09;14
1211Q;8717109356274;OSIGURAČI PLOČICA VW GOLF IV PASSAT;10,58;12
1213Q;8717109356298;OSIGURAČI PLOČICA PRED.SPRINTER VITO 95.-;18,38;22
